Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Procedure Type,Procedure Name,Decision Type Code,Decision Data Type,Decision Data,Decisions Average Persons Per Case,Recognized,Complementary Protection,Otherwise Closed,Rejected,Total Decided
2012,DEU,CAN,Germany,Canada,G,Government,FI,P,Persons,0,0,0,0,14,14
2012,DEU,JOR,Germany,Jordan,U,UNHCR,FA,P,Persons,0,0,0,5,0,5
2012,DEU,NZL,Germany,New Zealand,G,Government,AR,P,Persons,0,0,0,0,5,5
2012,DEU,CHE,Germany,Switzerland,G,Government,FI,P,Persons,0,0,5,0,0,5
2012,DEU,USA,Germany,United States of America,G,Government,EO,P,Persons,0,0,0,21,15,36
2012,DEU,USA,Germany,United States of America,G,Government,IN,C,Cases,0,0,0,11,0,11
2013,DEU,AUT,Germany,Austria,G,Government,FA,P,Persons,0,0,0,5,0,5
2013,DEU,CAN,Germany,Canada,G,Government,FI,P,Persons,0,0,0,5,5,10
2013,DEU,NOR,Germany,Norway,G,Government,AR,P,Persons,0,0,0,0,5,5
2013,DEU,NOR,Germany,Norway,G,Government,FI,P,Persons,0,0,0,0,5,5
2013,DEU,CHE,Germany,Switzerland,G,Government,FI,P,Persons,0,0,0,5,0,5
2013,DEU,USA,Germany,United States of America,G,Government,EO,P,Persons,0,0,0,30,15,45
2013,DEU,USA,Germany,United States of America,G,Government,IN,C,Cases,0,5,0,5,0,10
2014,DEU,ARG,Germany,Argentina,G,Government,FI,P,Persons,0,0,0,0,5,5
2014,DEU,AUS,Germany,Australia,G,Government,FI,P,Persons,0,5,0,0,0,5
2014,DEU,CAN,Germany,Canada,G,Government,FI,P,Persons,0,0,0,0,5,5
2014,DEU,FIN,Germany,Finland,G,Government,FI,P,Persons,0,0,0,0,5,5
2014,DEU,KGZ,Germany,Kyrgyzstan,G,Government,FI,P,Persons,0,0,0,0,5,5
2014,DEU,NOR,Germany,Norway,G,Government,AR,P,Persons,0,0,0,0,5,5
2014,DEU,NOR,Germany,Norway,G,Government,FI,P,Persons,0,0,0,0,5,5
2014,DEU,SWE,Germany,Sweden,G,Government,FI,P,Persons,0,0,0,5,0,5
2014,DEU,CHE,Germany,Switzerland,G,Government,FI,P,Persons,0,0,0,0,13,13
2014,DEU,USA,Germany,United States of America,G,Government,EO,P,Persons,0,0,0,5,0,5
2014,DEU,USA,Germany,United States of America,G,Government,IN,C,Cases,0,5,0,5,0,10
2015,DEU,AUS,Germany,Australia,G,Government,FI,P,Persons,0,0,0,5,0,5
2015,DEU,AUT,Germany,Austria,G,Government,FA,P,Persons,0,0,0,13,0,13
2015,DEU,CAN,Germany,Canada,G,Government,FI,P,Persons,0,0,0,0,5,5
2015,DEU,GBR,Germany,United Kingdom of Great Britain and Northern Ireland,G,Government,FI,P,Persons,0,0,0,5,0,5
2015,DEU,MEX,Germany,Mexico,G,Government,FI,P,Persons,0,0,0,0,5,5
2015,DEU,USA,Germany,United States of America,G,Government,EO,P,Persons,0,0,0,5,16,21
2015,DEU,USA,Germany,United States of America,G,Government,IN,C,Cases,0,0,0,10,0,10
2016,DEU,AUS,Germany,Australia,G,Government,AR,P,Persons,0,0,0,0,5,5
2016,DEU,AUS,Germany,Australia,G,Government,FI,P,Persons,0,0,0,0,5,5
2016,DEU,BEL,Germany,Belgium,G,Government,FI,P,Persons,0,0,0,5,0,5
2016,DEU,CAN,Germany,Canada,G,Government,FI,P,Persons,0,0,0,0,5,5
2016,DEU,FRA,Germany,France,G,Government,AR,P,Persons,0,0,0,0,5,5
2016,DEU,FRA,Germany,France,G,Government,FI,P,Persons,0,0,0,0,5,5
2016,DEU,GBR,Germany,United Kingdom of Great Britain and Northern Ireland,G,Government,FI,P,Persons,0,0,0,0,5,5
2016,DEU,NOR,Germany,Norway,G,Government,FI,P,Persons,0,0,0,0,5,5
2016,DEU,SWE,Germany,Sweden,G,Government,FI,P,Persons,0,0,0,5,0,5
2016,DEU,CHE,Germany,Switzerland,G,Government,FI,P,Persons,0,0,0,5,0,5
2017,DEU,AUS,Germany,Australia,G,Government,FI,P,Persons,0,0,0,0,5,5
2017,DEU,FIN,Germany,Finland,G,Government,FI,C,Cases,0,0,0,5,0,5
2017,DEU,NOR,Germany,Norway,G,Government,AR,P,Persons,0,0,0,0,5,5
2017,DEU,RUS,Germany,Russian Federation,G,Government,TA,P,Persons,0,0,11,5,0,16
2017,DEU,CHE,Germany,Switzerland,G,Government,FI,P,Persons,0,0,0,5,0,5
2017,DEU,USA,Germany,United States of America,G,Government,IN,C,Cases,0,0,0,0,14,14
2018,DEU,AUS,Germany,Australia,G,Government,AR,P,Persons,0,0,0,0,5,5
2018,DEU,AUT,Germany,Austria,G,Government,FA,P,Persons,0,0,0,5,0,5
2018,DEU,CAN,Germany,Canada,G,Government,FI,P,Persons,0,0,0,13,0,13
2018,DEU,HUN,Germany,Hungary,G,Government,FI,P,Persons,0,0,0,0,5,5
2018,DEU,RUS,Germany,Russian Federation,G,Government,FI,P,Persons,0,0,0,5,0,5
2018,DEU,RUS,Germany,Russian Federation,G,Government,TA,P,Persons,0,0,0,12,0,12
2018,DEU,CHE,Germany,Switzerland,G,Government,FI,P,Persons,0,0,0,0,11,11
2018,DEU,USA,Germany,United States of America,G,Government,EO,P,Persons,0,0,0,5,0,5
2018,DEU,USA,Germany,United States of America,G,Government,IN,C,Cases,0,0,0,12,5,17
2019,DEU,AUT,Germany,Austria,G,Government,FA,P,Persons,0,0,0,107,0,107
2019,DEU,CAN,Germany,Canada,G,Government,AR,P,Persons,0,0,0,0,5,5
2019,DEU,CAN,Germany,Canada,G,Government,FI,P,Persons,0,5,0,12,5,22
2019,DEU,FRA,Germany,France,G,Government,FI,P,Persons,0,0,0,0,5,5
2019,DEU,ITA,Germany,Italy,G,Government,FI,P,Persons,0,0,0,0,5,5
2019,DEU,NOR,Germany,Norway,G,Government,FI,P,Persons,0,0,0,0,10,10
2019,DEU,RUS,Germany,Russian Federation,G,Government,TA,P,Persons,0,5,0,13,0,18
2019,DEU,CHE,Germany,Switzerland,G,Government,FI,P,Persons,0,0,0,5,0,5
2019,DEU,USA,Germany,United States of America,G,Government,IN,C,Cases,0,0,0,0,11,11
2020,DEU,AUS,Germany,Australia,G,Government,AR,P,Persons,0,5,0,0,0,5
2020,DEU,AUT,Germany,Austria,G,Government,FA,P,Persons,0,0,0,0,5,5
2020,DEU,CAN,Germany,Canada,G,Government,AR,P,Persons,0,0,0,5,0,5
2020,DEU,DNK,Germany,Denmark,G,Government,FI,P,Persons,0,0,0,0,42,42
2020,DEU,RUS,Germany,Russian Federation,G,Government,FI,P,Persons,0,5,0,0,0,5
2020,DEU,RUS,Germany,Russian Federation,G,Government,TA,P,Persons,0,0,0,5,0,5
2020,DEU,SWE,Germany,Sweden,G,Government,FI,P,Persons,0,0,0,0,5,5
2020,DEU,CHE,Germany,Switzerland,G,Government,FI,P,Persons,0,0,5,0,0,5
2020,DEU,USA,Germany,United States of America,G,Government,EO,P,Persons,0,0,0,0,13,13
2020,DEU,USA,Germany,United States of America,G,Government,IN,C,Cases,0,0,0,5,5,10
2021,DEU,AUT,Germany,Austria,G,Government,FA,P,Persons,0,0,0,5,0,5
2021,DEU,CAN,Germany,Canada,G,Government,FI,P,Persons,0,0,0,5,5,10
2021,DEU,RUS,Germany,Russian Federation,G,Government,TA,P,Persons,0,0,0,5,0,5
2021,DEU,SWE,Germany,Sweden,G,Government,AR,P,Persons,0,0,0,0,5,5
2021,DEU,SWE,Germany,Sweden,G,Government,FI,P,Persons,0,0,0,0,5,5
2021,DEU,CHE,Germany,Switzerland,G,Government,FI,P,Persons,0,5,0,0,5,10
2021,DEU,USA,Germany,United States of America,G,Government,EO,P,Persons,0,0,0,0,10,10
2021,DEU,USA,Germany,United States of America,G,Government,IN,P,Persons,0,0,0,5,0,5
2022,DEU,AUS,Germany,Australia,G,Government,AR,P,Persons,0,0,0,0,5,5
2022,DEU,BLR,Germany,Belarus,G,Government,FI,P,Persons,0,0,0,5,0,5
2022,DEU,BRA,Germany,Brazil,G,Government,FI,P,Persons,0,0,0,13,0,13
2022,DEU,CAN,Germany,Canada,G,Government,FI,P,Persons,0,0,0,0,12,12
2022,DEU,CRI,Germany,Costa Rica,G,Government,FI,P,Persons,0,0,0,12,0,12
2022,DEU,DNK,Germany,Denmark,G,Government,FI,P,Persons,0,0,0,0,5,5
2022,DEU,MEX,Germany,Mexico,G,Government,FI,P,Persons,0,0,0,5,0,5
2022,DEU,NOR,Germany,Norway,G,Government,AR,P,Persons,0,0,0,0,5,5
2022,DEU,NOR,Germany,Norway,G,Government,FI,P,Persons,0,0,0,0,5,5
2022,DEU,POL,Germany,Poland,G,Government,FI,P,Persons,0,0,0,11,0,11
2022,DEU,RUS,Germany,Russian Federation,G,Government,FI,P,Persons,0,0,0,5,0,5
2022,DEU,RUS,Germany,Russian Federation,G,Government,TA,P,Persons,0,19,0,24,0,43
2022,DEU,SWE,Germany,Sweden,G,Government,FI,P,Persons,0,0,0,5,0,5
2022,DEU,CHE,Germany,Switzerland,G,Government,FI,P,Persons,0,0,0,5,0,5
2022,DEU,USA,Germany,United States of America,G,Government,EO,P,Persons,0,0,0,0,14,14
2022,DEU,USA,Germany,United States of America,G,Government,IN,P,Persons,0,13,0,11,5,29
2023,DEU,AUS,Germany,Australia,G,Government,FI,P,Persons,0,0,0,12,5,17
2023,DEU,BRA,Germany,Brazil,G,Government,FI,P,Persons,0,0,0,5,0,5
2023,DEU,CAN,Germany,Canada,G,Government,AR,P,Persons,0,0,0,0,5,5
2023,DEU,CAN,Germany,Canada,G,Government,FI,P,Persons,0,0,0,5,5,10
2023,DEU,CRI,Germany,Costa Rica,G,Government,FI,P,Persons,0,0,0,0,5,5
2023,DEU,FRA,Germany,France,G,Government,AR,P,Persons,0,0,0,0,5,5
2023,DEU,MEX,Germany,Mexico,G,Government,FI,P,Persons,0,0,0,0,5,5
2023,DEU,POL,Germany,Poland,G,Government,FI,P,Persons,0,0,0,0,11,11
2023,DEU,POL,Germany,Poland,G,Government,FI,P,Persons,0,0,0,10,0,10
2023,DEU,RUS,Germany,Russian Federation,G,Government,FI,P,Persons,0,0,0,5,0,5
2023,DEU,RUS,Germany,Russian Federation,G,Government,TA,P,Persons,0,141,0,24,0,165
2023,DEU,SWE,Germany,Sweden,G,Government,FI,P,Persons,0,0,0,0,5,5
2023,DEU,CHE,Germany,Switzerland,G,Government,FI,P,Persons,0,0,0,5,0,5
2023,DEU,USA,Germany,United States of America,G,Government,AR,P,Persons,0,5,0,5,0,10
2023,DEU,USA,Germany,United States of America,G,Government,EO,P,Persons,0,0,0,0,12,12
2023,DEU,USA,Germany,United States of America,G,Government,IN,P,Persons,0,0,0,0,5,5
2024,DEU,AUS,Germany,Australia,G,Government,FI,P,Persons,0,0,0,0,5,5
2024,DEU,BRA,Germany,Brazil,G,Government,FI,P,Persons,0,0,0,15,0,15
2024,DEU,CAN,Germany,Canada,G,Government,FI,P,Persons,0,0,0,10,10,20
2024,DEU,NOR,Germany,Norway,G,Government,AR,P,Persons,0,0,0,0,5,5
2024,DEU,NOR,Germany,Norway,G,Government,FI,P,Persons,0,0,0,0,5,5
2024,DEU,POL,Germany,Poland,G,Government,FI,P,Persons,0,0,0,0,5,5
2024,DEU,RUS,Germany,Russian Federation,G,Government,FI,P,Persons,0,0,0,5,0,5
2024,DEU,RUS,Germany,Russian Federation,G,Government,TA,P,Persons,0,62,0,10,0,72
2024,DEU,CHE,Germany,Switzerland,G,Government,FI,P,Persons,0,0,0,5,5,10
2024,DEU,USA,Germany,United States of America,G,Government,IN,P,Persons,0,0,0,5,0,5
